,DateTime,Most recent forecast [MW],Day-Ahead forecast [MW],Week-Ahead forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp],Day-Ahead forecast (11h00) [MW],predictions,RMSE_predictions,RMSE_elia
1278,2021-08-11 20:00:00,39.32,42.48,43.32,441.68,441.68,76600.96,42.29,-402.3539164422732,14295.481527454524,1576.2004608557265
1279,2021-08-12 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-535.3863599154819,14295.481527454524,1576.2004608557265
1280,2021-08-12 04:00:00,1181.73,1173.97,1043.17,1165.48,1165.48,76600.96,1159.28,-465.2779650877696,14295.481527454524,1576.2004608557265
1281,2021-08-12 08:00:00,26424.38,25655.06,19741.510000000002,26242.91,26242.91,76600.96,25641.39,3752.8364641901853,14295.481527454524,1576.2004608557265
1282,2021-08-12 12:00:00,34791.82,37753.33,32328.95,35950.74,35950.74,76600.96,38678.79,8454.884716645181,14295.481527454524,1576.2004608557265
1283,2021-08-12 16:00:00,17098.39,17606.39,15722.6,15629.94,15629.94,76600.96,18453.74,2225.8589895460755,14295.481527454524,1576.2004608557265
1284,2021-08-12 20:00:00,0.0,0.0,0.0,434.82,434.82,76600.96,0.0,-449.1206754989457,14295.481527454524,1576.2004608557265
1285,2021-08-13 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-626.1723202936818,14295.481527454524,1576.2004608557265
1286,2021-08-13 04:00:00,1115.74,1132.06,1007.45,1142.06,1142.06,76600.96,1118.4,-494.04645300834443,14295.481527454524,1576.2004608557265
1287,2021-08-13 08:00:00,26910.309999999998,26494.940000000002,19463.99,25308.73,25308.73,76600.96,26065.72,5046.81829271704,14295.481527454524,1576.2004608557265
1288,2021-08-13 12:00:00,40785.0,42591.16,29377.27,39390.159999999996,39390.159999999996,76600.96,42341.93,12031.231849006565,14295.481527454524,1576.2004608557265
1289,2021-08-13 16:00:00,20911.97,21945.36,14223.82,22141.97,22141.97,76600.96,21955.36,6072.790793712512,14295.481527454524,1576.2004608557265
1290,2021-08-13 20:00:00,0.0,0.0,0.0,358.28000000000003,358.28000000000003,76600.96,0.0,-504.90703274979256,14295.481527454524,1576.2004608557265
1291,2021-08-14 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-634.6924667093809,14295.481527454524,1576.2004608557265
1292,2021-08-14 04:00:00,1013.6400000000001,1051.9099999999999,983.2,1074.74,1074.74,76600.96,1118.0900000000001,-450.9133652485628,14295.481527454524,1576.2004608557265
1293,2021-08-14 08:00:00,26795.32,27361.13,22338.55,28673.33,28673.33,76600.96,28660.11,11352.997614968419,14295.481527454524,1576.2004608557265
1294,2021-08-14 12:00:00,46465.55,47660.25,39936.19,48921.29,48921.29,76600.96,46768.979999999996,23798.040732187033,14295.481527454524,1576.2004608557265
1295,2021-08-14 16:00:00,24881.12,23361.83,19965.29,24400.68,24400.68,76600.96,22856.34,8174.713058948741,14295.481527454524,1576.2004608557265
1296,2021-08-14 20:00:00,0.0,0.0,0.0,346.69,346.69,76600.96,0.0,-402.7084928277787,14295.481527454524,1576.2004608557265
1297,2021-08-15 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-591.7130941970553,14295.481527454524,1576.2004608557265
1298,2021-08-15 04:00:00,1069.35,1037.02,819.87,1081.52,1081.52,76600.96,1062.6299999999999,-419.75811661669053,14295.481527454524,1576.2004608557265
1299,2021-08-15 08:00:00,27809.87,25680.690000000002,18044.59,26559.18,26559.18,76600.96,26794.5,5186.396321035326,14295.481527454524,1576.2004608557265
1300,2021-08-15 12:00:00,46640.01,38971.72,31662.1,47588.74,47588.74,76600.96,41205.43,16727.313527085334,14295.481527454524,1576.2004608557265
1301,2021-08-15 16:00:00,19423.4,17863.93,15848.14,18858.79,18858.79,76600.96,18875.75,4491.009495273605,14295.481527454524,1576.2004608557265
1302,2021-08-15 20:00:00,0.0,0.0,0.0,365.74,365.74,76600.96,0.0,-432.4562401842233,14295.481527454524,1576.2004608557265
1303,2021-08-16 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-586.1376015313435,14295.481527454524,1576.2004608557265
1304,2021-08-16 04:00:00,526.74,430.39,929.6,335.9,335.9,76600.96,423.33,-415.58292238201017,14295.481527454524,1576.2004608557265
1305,2021-08-16 08:00:00,12471.71,12980.699999999999,20482.03,13122.93,13122.93,76600.96,13357.42,3861.8171369152888,14295.481527454524,1576.2004608557265
1306,2021-08-16 12:00:00,19094.68,20034.93,31858.29,19060.16,19060.16,76600.96,20695.52,16085.026725016683,14295.481527454524,1576.2004608557265
1307,2021-08-16 16:00:00,5938.04,9601.119999999999,14688.68,6289.92,6289.92,76600.96,9502.71,5709.919350678697,14295.481527454524,1576.2004608557265
1308,2021-08-16 20:00:00,159.41,0.0,0.0,313.36,313.36,76600.96,0.0,-439.45904194745236,14295.481527454524,1576.2004608557265
1309,2021-08-17 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-582.8005564627704,14295.481527454524,1576.2004608557265
1310,2021-08-17 04:00:00,751.87,828.81,657.5899999999999,745.39,745.39,76600.96,854.3299999999999,-358.97282165384854,14295.481527454524,1576.2004608557265
1311,2021-08-17 08:00:00,14610.31,18259.65,15118.04,13689.49,13689.49,76600.96,17054.510000000002,6310.410665932149,14295.481527454524,1576.2004608557265
1312,2021-08-17 12:00:00,8271.86,14018.34,27077.32,10306.710000000001,10306.710000000001,76600.96,11600.41,22592.12742728889,14295.481527454524,1576.2004608557265
1313,2021-08-17 16:00:00,3284.4,3612.71,13752.56,4172.42,4172.42,76600.96,3016.68,6392.3613554523145,14295.481527454524,1576.2004608557265
1314,2021-08-17 20:00:00,54.78,57.35,0.0,51.4,51.4,76600.96,0.0,-426.0473456816655,14295.481527454524,1576.2004608557265
1315,2021-08-18 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-584.6565985028725,14295.481527454524,1576.2004608557265
1316,2021-08-18 04:00:00,423.56,362.84000000000003,671.01,273.72,273.72,76600.96,333.28,-438.9446933771577,14295.481527454524,1576.2004608557265
1317,2021-08-18 08:00:00,12051.02,10269.5,14668.28,10796.72,10796.72,76600.96,9659.07,9238.262144355327,14295.481527454524,1576.2004608557265
1318,2021-08-18 12:00:00,20023.72,19057.739999999998,24819.94,18205.11,18205.11,76600.96,19739.98,17977.0751294516,14295.481527454524,1576.2004608557265
1319,2021-08-18 16:00:00,8049.52,9817.71,12424.06,7989.28,7989.28,76600.96,10488.77,5484.639587919898,14295.481527454524,1576.2004608557265
1320,2021-08-18 20:00:00,149.29,156.78,0.0,89.14,89.14,76600.96,162.72,-460.25660033754076,14295.481527454524,1576.2004608557265
1321,2021-08-19 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-602.5309479751531,14295.481527454524,1576.2004608557265
1322,2021-08-19 04:00:00,394.31,380.67,837.0600000000001,334.86,334.86,76600.96,451.65,-412.32658191087654,14295.481527454524,1576.2004608557265
1323,2021-08-19 08:00:00,13902.130000000001,12669.17,19521.79,11671.66,11671.66,76600.96,14113.34,7166.1033417724075,14295.481527454524,1576.2004608557265
